time,SMA
2020-05-18 16:00,315.1255
2020-05-18 15:55,315.1385
2020-05-18 15:50,315.1022
2020-05-18 15:45,315.0558
2020-05-18 15:40,315.0293
2020-05-18 15:35,315.0062
2020-05-18 15:30,315.0080
2020-05-18 15:25,315.0362
2020-05-18 15:20,315.0354
2020-05-18 15:15,315.1079
2020-05-18 15:10,315.1724
2020-05-18 15:05,315.2354
2020-05-18 15:00,315.2787
2020-05-18 14:55,315.3247
2020-05-18 14:50,315.3517
2020-05-18 14:45,315.3811
2020-05-18 14:40,315.3849
2020-05-18 14:35,315.3922
2020-05-18 14:30,315.3912
2020-05-18 14:25,315.3783
2020-05-18 14:20,315.3567
2020-05-18 14:15,315.3398
2020-05-18 14:10,315.2981
2020-05-18 14:05,315.2784
2020-05-18 14:00,315.2212
2020-05-18 13:55,315.1577
2020-05-18 13:50,315.1004
2020-05-18 13:45,315.0206
2020-05-18 13:40,314.9629
2020-05-18 13:35,314.8692
2020-05-18 13:30,314.7642
2020-05-18 13:25,314.6512
2020-05-18 13:20,314.5487
2020-05-18 13:15,314.4467
2020-05-18 13:10,314.3662
2020-05-18 13:05,314.2788
2020-05-18 13:00,314.2190
2020-05-18 12:55,314.1667
2020-05-18 12:50,314.1017
2020-05-18 12:45,314.0523
2020-05-18 12:40,314.0323
2020-05-18 12:35,313.9697
2020-05-18 12:30,313.9080
2020-05-18 12:25,313.8322
2020-05-18 12:20,313.7676
2020-05-18 12:15,313.7076
2020-05-18 12:10,313.6236
2020-05-18 12:05,313.5529
2020-05-18 12:00,313.5261
2020-05-18 11:55,313.4806
2020-05-18 11:50,313.4021
2020-05-18 11:45,313.3211
2020-05-18 11:40,313.2514
2020-05-18 11:35,313.1599
2020-05-18 11:30,313.0379
2020-05-18 11:25,312.9338
2020-05-18 11:20,312.8348
2020-05-18 11:15,312.7062
2020-05-18 11:10,312.5882
2020-05-18 11:05,312.2862
2020-05-18 11:00,311.9672
2020-05-18 10:55,311.6727
2020-05-18 10:50,311.3653
2020-05-18 10:45,311.0374
2020-05-18 10:40,310.7513
2020-05-18 10:35,310.4488
2020-05-18 10:30,310.1403
2020-05-18 10:25,309.8378
2020-05-18 10:20,309.4993
2020-05-18 10:15,309.1908
2020-05-18 10:10,308.9273
2020-05-18 10:05,308.6168
2020-05-18 10:00,308.3176
2020-05-18 09:55,308.0336
2020-05-18 09:50,307.7471
2020-05-18 09:45,307.4601
2020-05-18 09:40,307.1831
2020-05-18 09:35,306.9806
2020-05-15 16:00,306.7766
2020-05-15 15:55,306.7121
