time,SlowD,SlowK
2020-05-18 16:00,77.2738,56.4717
2020-05-18 15:55,89.5419,84.9004
2020-05-18 15:50,91.2231,90.4492
2020-05-18 15:45,89.9774,93.2760
2020-05-18 15:40,81.3199,89.9442
2020-05-18 15:35,67.6003,86.7122
2020-05-18 15:30,52.1816,67.3033
2020-05-18 15:25,48.3070,48.7855
2020-05-18 15:20,53.9205,40.4560
2020-05-18 15:15,62.7576,55.6795
2020-05-18 15:10,62.0746,65.6260
2020-05-18 15:05,58.5469,66.9672
2020-05-18 15:00,49.9712,53.6306
2020-05-18 14:55,44.0827,55.0431
2020-05-18 14:50,34.4603,41.2399
2020-05-18 14:45,27.0701,35.9652
2020-05-18 14:40,22.4113,26.1758
2020-05-18 14:35,23.3519,19.0693
2020-05-18 14:30,28.7610,21.9889
2020-05-18 14:25,37.7050,28.9976
2020-05-18 14:20,41.6567,35.2964
2020-05-18 14:15,45.9995,48.8211
2020-05-18 14:10,43.6405,40.8527
2020-05-18 14:05,40.5615,48.3248
2020-05-18 14:00,37.0239,41.7442
2020-05-18 13:55,35.8446,31.6156
2020-05-18 13:50,48.6954,37.7119
2020-05-18 13:45,63.4248,38.2065
2020-05-18 13:40,82.7476,70.1679
2020-05-18 13:35,91.2573,81.9000
2020-05-18 13:30,95.6628,96.1748
2020-05-18 13:25,95.2934,95.6971
2020-05-18 13:20,93.7763,95.1165
2020-05-18 13:15,89.8796,95.0664
2020-05-18 13:10,83.3088,91.1459
2020-05-18 13:05,71.2094,83.4264
2020-05-18 13:00,64.4215,75.3541
2020-05-18 12:55,60.9742,54.8478
2020-05-18 12:50,72.3963,63.0625
2020-05-18 12:45,79.8140,65.0122
2020-05-18 12:40,83.3596,89.1140
2020-05-18 12:35,78.1630,85.3159
2020-05-18 12:30,71.8735,75.6490
2020-05-18 12:25,69.3146,73.5240
2020-05-18 12:20,67.0742,66.4473
2020-05-18 12:15,64.5211,67.9723
2020-05-18 12:10,63.7933,66.8030
2020-05-18 12:05,61.1161,58.7880
2020-05-18 12:00,63.0111,65.7890
2020-05-18 11:55,62.5314,58.7712
