time,SlowD,SlowK
2020-05-18 16:00,61.6525,48.4835
2020-05-18 15:55,71.3507,68.0179
2020-05-18 15:50,76.7714,68.4561
2020-05-18 15:45,79.1669,77.5782
2020-05-18 15:40,69.9288,84.2799
2020-05-18 15:35,49.3045,75.6427
2020-05-18 15:30,29.0444,49.8636
2020-05-18 15:25,19.7706,22.4073
2020-05-18 15:20,21.0020,14.8622
2020-05-18 15:15,24.4083,22.0422
2020-05-18 15:10,27.4902,26.1016
2020-05-18 15:05,37.4139,25.0811
2020-05-18 15:00,47.2151,31.2880
2020-05-18 14:55,57.3228,55.8726
2020-05-18 14:50,58.3082,54.4848
2020-05-18 14:45,65.0801,61.6110
2020-05-18 14:40,70.2570,58.8287
2020-05-18 14:35,72.3504,74.8005
2020-05-18 14:30,64.5580,77.1418
2020-05-18 14:25,49.9269,65.1089
2020-05-18 14:20,34.4371,51.4233
2020-05-18 14:15,21.8454,33.2485
2020-05-18 14:10,14.6638,18.6396
2020-05-18 14:05,13.3568,13.6480
2020-05-18 14:00,20.9236,11.7039
2020-05-18 13:55,32.8548,14.7186
2020-05-18 13:50,53.0598,36.3482
2020-05-18 13:45,68.7215,47.4976
2020-05-18 13:40,85.5075,75.3335
2020-05-18 13:35,92.1175,83.3333
2020-05-18 13:30,95.7293,97.8557
2020-05-18 13:25,94.4382,95.1637
2020-05-18 13:20,89.8605,94.1687
2020-05-18 13:15,78.8423,93.9823
2020-05-18 13:10,63.5442,81.4305
2020-05-18 13:05,48.8751,61.1141
2020-05-18 13:00,45.8597,48.0879
2020-05-18 12:55,47.4776,37.4232
2020-05-18 12:50,54.9359,52.0679
2020-05-18 12:45,51.2210,52.9419
2020-05-18 12:40,41.4140,59.7978
2020-05-18 12:35,27.1968,40.9233
2020-05-18 12:30,21.9565,23.5210
2020-05-18 12:25,24.2949,17.1461
2020-05-18 12:20,32.0618,25.2024
2020-05-18 12:15,37.6984,30.5363
2020-05-18 12:10,47.7214,40.4465
2020-05-18 12:05,53.2004,42.1123
2020-05-18 12:00,55.6657,60.6053
2020-05-18 11:55,47.2166,56.8835
2020-05-18 11:50,35.9961,49.5083
2020-05-18 11:45,24.8914,35.2580
2020-05-18 11:40,19.9345,23.2221
2020-05-18 11:35,23.0866,16.1941
2020-05-18 11:30,32.1372,20.3875
2020-05-18 11:25,40.0672,32.6783
2020-05-18 11:20,49.5323,43.3458
2020-05-18 11:15,54.9423,44.1776
2020-05-18 11:10,59.9494,61.0735
2020-05-18 11:05,58.7508,59.5757
2020-05-18 11:00,64.2143,59.1990
2020-05-18 10:55,73.4158,57.4777
2020-05-18 10:50,82.2874,75.9662
2020-05-18 10:45,81.4064,86.8033
2020-05-18 10:40,77.5698,84.0926
2020-05-18 10:35,70.5424,73.3234
2020-05-18 10:30,67.7176,75.2935
2020-05-18 10:25,59.3997,63.0102
2020-05-18 10:20,54.1264,64.8493
2020-05-18 10:15,41.3676,50.3398
2020-05-18 10:10,32.6182,47.1902
2020-05-18 10:05,27.3328,26.5729
2020-05-18 10:00,38.1451,24.0916
2020-05-18 09:55,54.0193,31.3338
2020-05-18 09:50,69.9565,59.0099
2020-05-18 09:45,71.1557,71.7143
2020-05-18 09:40,66.9132,79.1455
2020-05-18 09:35,56.7612,62.6073
2020-05-15 16:00,50.8327,58.9869
2020-05-15 15:55,48.0922,48.6894
2020-05-15 15:50,54.8320,44.8218
2020-05-15 15:45,69.1970,50.7656
2020-05-15 15:40,81.7793,68.9087
2020-05-15 15:35,87.7676,87.9165
2020-05-15 15:30,87.8739,88.5125
2020-05-15 15:25,86.6294,86.8737
2020-05-15 15:20,80.7288,88.2356
2020-05-15 15:15,72.8249,84.7790
2020-05-15 15:10,62.8360,69.1718
2020-05-15 15:05,54.3490,64.5240
2020-05-15 15:00,41.3931,54.8123
2020-05-15 14:55,30.2540,43.7109
2020-05-15 14:50,28.0940,25.6562
2020-05-15 14:45,36.1955,21.3950
2020-05-15 14:40,48.7069,37.2309
2020-05-15 14:35,56.1472,49.9606
2020-05-15 14:30,62.4641,58.9294
2020-05-15 14:25,68.7560,59.5516
2020-05-15 14:20,75.2308,68.9113
2020-05-15 14:15,73.7113,77.8049
2020-05-15 14:10,61.8991,78.9761
2020-05-15 14:05,43.3308,64.3528
2020-05-15 14:00,25.8232,42.3685
2020-05-15 13:55,15.7014,23.2710
2020-05-15 13:50,18.1567,11.8302
2020-05-15 13:45,29.8940,12.0029
2020-05-15 13:40,47.3223,30.6370
2020-05-15 13:35,62.4608,47.0423
2020-05-15 13:30,75.6396,64.2876
2020-05-15 13:25,85.8902,76.0525
2020-05-15 13:20,86.9332,86.5788
2020-05-15 13:15,81.2114,95.0394
2020-05-15 13:10,64.7947,79.1813
2020-05-15 13:05,53.5723,69.4135
2020-05-15 13:00,48.8487,45.7893
2020-05-15 12:55,59.6285,45.5141
2020-05-15 12:50,72.4211,55.2427
2020-05-15 12:45,83.3895,78.1288
2020-05-15 12:40,85.8946,83.8917
2020-05-15 12:35,87.9747,88.1480
2020-05-15 12:30,87.7102,85.6441
2020-05-15 12:25,87.9958,90.1321
2020-05-15 12:20,87.5118,87.3544
2020-05-15 12:15,86.8282,86.5011
2020-05-15 12:10,82.0591,88.6799
2020-05-15 12:05,71.8639,85.3037
2020-05-15 12:00,56.5122,72.1937
2020-05-15 11:55,46.2102,58.0944
2020-05-15 11:50,37.4984,39.2484
2020-05-15 11:45,42.2115,41.2879
2020-05-15 11:40,47.3549,31.9590
2020-05-15 11:35,60.3950,53.3876
2020-05-15 11:30,61.9592,56.7181
2020-05-15 11:25,57.6415,71.0793
2020-05-15 11:20,43.0212,58.0803
2020-05-15 11:15,27.5803,43.7650
2020-05-15 11:10,17.4857,27.2183
2020-05-15 11:05,12.9808,11.7575
2020-05-15 11:00,16.2257,13.4814
2020-05-15 10:55,16.2615,13.7035
2020-05-15 10:50,18.3097,21.4924
2020-05-15 10:45,18.1501,13.5888
2020-05-15 10:40,26.6352,19.8480
2020-05-15 10:35,39.0733,21.0134
2020-05-15 10:30,57.8575,39.0443
2020-05-15 10:25,64.8637,57.1623
2020-05-15 10:20,61.2888,77.3658
2020-05-15 10:15,47.5787,60.0629
2020-05-15 10:10,44.5233,46.4376
2020-05-15 10:05,47.7984,36.2356
2020-05-15 10:00,52.2593,50.8968
2020-05-15 09:55,49.3030,56.2629
2020-05-15 09:50,48.5940,49.6183
2020-05-15 09:45,55.9858,42.0279
2020-05-15 09:40,74.3328,54.1356
2020-05-15 09:35,87.5756,71.7939
2020-05-14 16:00,92.7874,97.0687
2020-05-14 15:55,86.4152,93.8641
2020-05-14 15:50,81.7600,87.4292
2020-05-14 15:45,81.9223,77.9521
2020-05-14 15:40,84.2052,79.8986
2020-05-14 15:35,83.8004,87.9162
2020-05-14 15:30,79.9696,84.8007
2020-05-14 15:25,80.8152,78.6842
2020-05-14 15:20,86.1475,76.4237
2020-05-14 15:15,92.9315,87.3377
2020-05-14 15:10,96.3703,94.6809
2020-05-14 15:05,93.3617,96.7758
2020-05-14 15:00,79.6794,97.6543
2020-05-14 14:55,56.1141,85.6552
2020-05-14 14:50,40.5263,55.7286
2020-05-14 14:45,44.9496,26.9586
2020-05-14 14:40,61.8196,38.8919
2020-05-14 14:35,69.4785,68.9985
2020-05-14 14:30,58.8647,77.5685
2020-05-14 14:25,43.1705,61.8685
2020-05-14 14:20,28.3805,37.1570
2020-05-14 14:15,21.4075,30.4859
2020-05-14 14:10,20.1348,17.4985
2020-05-14 14:05,28.2752,16.2381
2020-05-14 14:00,41.7518,26.6678
2020-05-14 13:55,54.0598,41.9197
2020-05-14 13:50,64.4288,56.6679
2020-05-14 13:45,70.3591,63.5918
2020-05-14 13:40,75.9841,73.0268
2020-05-14 13:35,77.1636,74.4588
