time,SMA
2020-05-18 16:00,185.2585
2020-05-18 15:55,185.2915
2020-05-18 15:50,185.2860
2020-05-18 15:45,185.2790
2020-05-18 15:40,185.2899
2020-05-18 15:35,185.2969
2020-05-18 15:30,185.3165
2020-05-18 15:25,185.3590
2020-05-18 15:20,185.3929
2020-05-18 15:15,185.4507
2020-05-18 15:10,185.5047
2020-05-18 15:05,185.5615
2020-05-18 15:00,185.6090
2020-05-18 14:55,185.6614
2020-05-18 14:50,185.7028
2020-05-18 14:45,185.7312
2020-05-18 14:40,185.7398
2020-05-18 14:35,185.7383
2020-05-18 14:30,185.7203
2020-05-18 14:25,185.7008
2020-05-18 14:20,185.6706
2020-05-18 14:15,185.6522
2020-05-18 14:10,185.6382
2020-05-18 14:05,185.6187
2020-05-18 14:00,185.5817
2020-05-18 13:55,185.5420
2020-05-18 13:50,185.5060
2020-05-18 13:45,185.4695
2020-05-18 13:40,185.4357
2020-05-18 13:35,185.3960
2020-05-18 13:30,185.3435
2020-05-18 13:25,185.2875
2020-05-18 13:20,185.2380
2020-05-18 13:15,185.1813
2020-05-18 13:10,185.1510
2020-05-18 13:05,185.1155
2020-05-18 13:00,185.1035
2020-05-18 12:55,185.1072
2020-05-18 12:50,185.1127
2020-05-18 12:45,185.1312
2020-05-18 12:40,185.1669
2020-05-18 12:35,185.1852
2020-05-18 12:30,185.1813
2020-05-18 12:25,185.1743
2020-05-18 12:20,185.1788
2020-05-18 12:15,185.1923
2020-05-18 12:10,185.1916
2020-05-18 12:05,185.1756
2020-05-18 12:00,185.1648
2020-05-18 11:55,185.1612
2020-05-18 11:50,185.1527
2020-05-18 11:45,185.1492
2020-05-18 11:40,185.1402
2020-05-18 11:35,185.1274
2020-05-18 11:30,185.0707
2020-05-18 11:25,185.0507
2020-05-18 11:20,185.0442
2020-05-18 11:15,185.0218
2020-05-18 11:10,184.9821
2020-05-18 11:05,184.8731
2020-05-18 11:00,184.7267
2020-05-18 10:55,184.5222
2020-05-18 10:50,184.3381
2020-05-18 10:45,184.1681
2020-05-18 10:40,184.0111
2020-05-18 10:35,183.8479
2020-05-18 10:30,183.6796
2020-05-18 10:25,183.5099
2020-05-18 10:20,183.3392
2020-05-18 10:15,183.1508
2020-05-18 10:10,182.9633
2020-05-18 10:05,182.7393
2020-05-18 10:00,182.5398
2020-05-18 09:55,182.3453
2020-05-18 09:50,182.1523
2020-05-18 09:45,181.9388
2020-05-18 09:40,181.7143
2020-05-18 09:35,181.5235
2020-05-15 16:00,181.3497
2020-05-15 15:55,181.2252
2020-05-15 15:50,181.1187
2020-05-15 15:45,181.0762
2020-05-15 15:40,181.0442
2020-05-15 15:35,180.9802
2020-05-15 15:30,180.8872
2020-05-15 15:25,180.7862
2020-05-15 15:20,180.7032
2020-05-15 15:15,180.6431
2020-05-15 15:10,180.5876
2020-05-15 15:05,180.5461
2020-05-15 15:00,180.5241
2020-05-15 14:55,180.5166
2020-05-15 14:50,180.5481
2020-05-15 14:45,180.5553
2020-05-15 14:40,180.5841
2020-05-15 14:35,180.5791
2020-05-15 14:30,180.5553
2020-05-15 14:25,180.5033
