time,SlowD,SlowK
2020-05-18 16:00,77.4594,59.5984
2020-05-18 15:55,87.6810,82.4218
2020-05-18 15:50,89.0479,90.3580
2020-05-18 15:45,84.3672,90.2633
2020-05-18 15:40,72.1880,86.5225
2020-05-18 15:35,56.3126,76.3157
2020-05-18 15:30,41.1977,53.7257
2020-05-18 15:25,35.3915,38.8965
2020-05-18 15:20,31.5121,30.9709
2020-05-18 15:15,28.3755,36.3070
2020-05-18 15:10,21.8756,27.2583
2020-05-18 15:05,22.0058,21.5612
2020-05-18 15:00,24.2646,16.8074
2020-05-18 14:55,28.5892,27.6489
2020-05-18 14:50,28.0162,28.3376
2020-05-18 14:45,26.0237,29.7812
2020-05-18 14:40,23.1392,25.9297
2020-05-18 14:35,20.4074,22.3600
2020-05-18 14:30,20.0971,21.1279
2020-05-18 14:25,26.3892,17.7344
2020-05-18 14:20,35.2456,21.4290
2020-05-18 14:15,43.5533,40.0043
2020-05-18 14:10,41.3030,44.3036
2020-05-18 14:05,34.2894,46.3520
2020-05-18 14:00,27.3652,33.2535
2020-05-18 13:55,26.2979,23.2626
2020-05-18 13:50,39.2301,25.5796
2020-05-18 13:45,58.0373,30.0515
2020-05-18 13:40,79.9844,62.0593
2020-05-18 13:35,90.9620,82.0012
2020-05-18 13:30,95.7373,95.8928
2020-05-18 13:25,96.4669,94.9919
2020-05-18 13:20,95.6145,96.3272
2020-05-18 13:15,89.5614,98.0817
2020-05-18 13:10,78.5248,92.4347
2020-05-18 13:05,62.0976,78.1679
2020-05-18 13:00,50.5377,64.9718
2020-05-18 12:55,44.4420,43.1531
2020-05-18 12:50,54.6891,43.4882
2020-05-18 12:45,66.6206,46.6846
2020-05-18 12:40,72.9002,73.8945
2020-05-18 12:35,64.9780,79.2827
2020-05-18 12:30,54.0348,65.5233
2020-05-18 12:25,47.5601,50.1280
2020-05-18 12:20,46.9795,46.4531
2020-05-18 12:15,42.6201,46.0992
2020-05-18 12:10,40.1858,48.3862
2020-05-18 12:05,35.0470,33.3747
2020-05-18 12:00,33.1385,38.7965
2020-05-18 11:55,30.0094,32.9698
2020-05-18 11:50,25.6463,27.6492
2020-05-18 11:45,26.9230,29.4091
2020-05-18 11:40,25.3265,19.8805
2020-05-18 11:35,28.0098,31.4795
2020-05-18 11:30,31.2945,24.6193
2020-05-18 11:25,43.7627,27.9304
2020-05-18 11:20,64.0535,41.3337
2020-05-18 11:15,78.9595,62.0241
2020-05-18 11:10,83.9767,88.8027
2020-05-18 11:05,78.5862,86.0518
2020-05-18 11:00,77.4639,77.0756
2020-05-18 10:55,80.7218,72.6313
2020-05-18 10:50,80.4067,82.6848
2020-05-18 10:45,69.5702,86.8493
2020-05-18 10:40,58.7871,71.6859
2020-05-18 10:35,56.3241,50.1753
2020-05-18 10:30,65.9785,54.5001
2020-05-18 10:25,71.3683,64.2969
2020-05-18 10:20,70.6163,79.1384
2020-05-18 10:15,56.4046,70.6697
2020-05-18 10:10,43.4793,62.0408
2020-05-18 10:05,36.3998,36.5035
2020-05-18 10:00,45.1430,31.8935
2020-05-18 09:55,56.6028,40.8023
2020-05-18 09:50,62.0504,62.7332
2020-05-18 09:45,62.4339,66.2728
2020-05-18 09:40,58.3796,57.1452
2020-05-18 09:35,54.7994,63.8836
2020-05-15 16:00,44.8287,54.1099
2020-05-15 15:55,44.3159,46.4047
2020-05-15 15:50,53.9151,33.9716
2020-05-15 15:45,72.3634,52.5715
2020-05-15 15:40,85.0965,75.2020
2020-05-15 15:35,91.0208,89.3166
2020-05-15 15:30,92.6359,90.7707
2020-05-15 15:25,93.3722,92.9750
2020-05-15 15:20,87.2989,94.1620
