time,SMA
2020-05-18 16:00,0.7678
2020-05-18 15:55,0.7679
2020-05-18 15:50,0.7677
2020-05-18 15:45,0.7674
2020-05-18 15:40,0.7672
2020-05-18 15:35,0.7667
2020-05-18 15:30,0.7661
2020-05-18 15:25,0.7662
2020-05-18 15:20,0.7662
2020-05-18 15:15,0.7660
2020-05-18 15:10,0.7654
2020-05-18 15:05,0.7653
2020-05-18 15:00,0.7651
2020-05-18 14:55,0.7648
2020-05-18 14:50,0.7648
2020-05-18 14:45,0.7643
2020-05-18 14:40,0.7635
2020-05-18 14:35,0.7632
2020-05-18 14:30,0.7634
2020-05-18 14:25,0.7630
2020-05-18 14:20,0.7631
2020-05-18 14:15,0.7635
2020-05-18 14:05,0.7635
2020-05-18 14:00,0.7638
2020-05-18 13:55,0.7644
2020-05-18 13:50,0.7650
2020-05-18 13:45,0.7659
2020-05-18 13:40,0.7665
2020-05-18 13:35,0.7669
2020-05-18 13:30,0.7675
2020-05-18 13:25,0.7679
2020-05-18 13:20,0.7688
2020-05-18 13:15,0.7692
2020-05-18 13:10,0.7699
2020-05-18 13:05,0.7705
2020-05-18 13:00,0.7719
2020-05-18 12:55,0.7725
2020-05-18 12:50,0.7734
2020-05-18 12:45,0.7740
2020-05-18 12:40,0.7751
2020-05-18 12:35,0.7763
2020-05-18 12:30,0.7768
2020-05-18 12:25,0.7775
2020-05-18 12:20,0.7778
2020-05-18 12:15,0.7784
2020-05-18 12:10,0.7783
2020-05-18 12:05,0.7780
2020-05-18 12:00,0.7781
2020-05-18 11:55,0.7785
2020-05-18 11:50,0.7789
2020-05-18 11:45,0.7789
2020-05-18 11:40,0.7789
2020-05-18 11:35,0.7794
2020-05-18 11:30,0.7800
2020-05-18 11:25,0.7804
2020-05-18 11:20,0.7804
2020-05-18 11:15,0.7808
2020-05-18 11:10,0.7811
2020-05-18 11:05,0.7811
2020-05-18 11:00,0.7809
2020-05-18 10:50,0.7800
2020-05-18 10:45,0.7795
2020-05-18 10:40,0.7799
2020-05-18 10:35,0.7799
2020-05-18 10:30,0.7796
2020-05-18 10:25,0.7810
2020-05-18 10:20,0.7818
2020-05-18 10:15,0.7835
2020-05-18 10:10,0.7843
2020-05-18 10:05,0.7857
2020-05-18 10:00,0.7862
2020-05-18 09:55,0.7862
2020-05-18 09:50,0.7876
2020-05-18 09:45,0.7873
2020-05-18 09:40,0.7879
2020-05-18 09:35,0.7876
2020-05-15 16:00,0.7881
2020-05-15 15:55,0.7881
2020-05-15 15:50,0.7891
2020-05-15 15:45,0.7887
2020-05-15 15:40,0.7902
2020-05-15 15:35,0.7907
2020-05-15 15:30,0.7916
2020-05-15 15:25,0.7917
2020-05-15 15:20,0.7916
2020-05-15 15:15,0.7906
2020-05-15 15:10,0.7897
2020-05-15 15:05,0.7877
2020-05-15 15:00,0.7875
2020-05-15 14:55,0.7867
2020-05-15 14:50,0.7872
2020-05-15 14:45,0.7876
2020-05-15 14:40,0.7882
2020-05-15 14:35,0.7900
2020-05-15 14:30,0.7907
2020-05-15 14:25,0.7915
2020-05-15 14:20,0.7925
2020-05-15 14:15,0.7930
2020-05-15 14:10,0.7924
2020-05-15 14:05,0.7925
2020-05-15 14:00,0.7919
2020-05-15 13:55,0.7917
2020-05-15 13:50,0.7907
2020-05-15 13:45,0.7912
2020-05-15 13:40,0.7915
2020-05-15 13:35,0.7915
2020-05-15 13:30,0.7920
2020-05-15 13:25,0.7925
2020-05-15 13:20,0.7919
2020-05-15 13:15,0.7912
2020-05-15 13:10,0.7902
2020-05-15 13:05,0.7891
2020-05-15 13:00,0.7867
2020-05-15 12:55,0.7840
2020-05-15 12:50,0.7820
2020-05-15 12:45,0.7804
2020-05-15 12:40,0.7783
2020-05-15 12:35,0.7764
2020-05-15 12:30,0.7752
2020-05-15 12:25,0.7749
2020-05-15 12:20,0.7729
2020-05-15 12:15,0.7718
2020-05-15 12:05,0.7716
2020-05-15 12:00,0.7696
2020-05-15 11:55,0.7696
2020-05-15 11:50,0.7678
2020-05-15 11:45,0.7678
2020-05-15 11:40,0.7673
2020-05-15 11:35,0.7668
2020-05-15 11:30,0.7669
2020-05-15 11:25,0.7674
2020-05-15 11:15,0.7675
2020-05-15 11:05,0.7675
2020-05-15 11:00,0.7681
2020-05-15 10:55,0.7680
2020-05-15 10:50,0.7680
2020-05-15 10:45,0.7686
2020-05-15 10:40,0.7687
2020-05-15 10:35,0.7685
2020-05-15 10:30,0.7678
2020-05-15 10:25,0.7683
2020-05-15 10:20,0.7687
2020-05-15 10:15,0.7679
2020-05-15 10:10,0.7689
2020-05-15 10:05,0.7683
2020-05-15 10:00,0.7696
2020-05-15 09:55,0.7691
2020-05-15 09:50,0.7691
2020-05-15 09:45,0.7691
2020-05-15 09:40,0.7689
2020-05-15 09:35,0.7684
2020-05-14 16:00,0.7683
2020-05-14 15:55,0.7678
2020-05-14 15:50,0.7673
2020-05-14 15:45,0.7668
2020-05-14 15:40,0.7664
2020-05-14 15:35,0.7656
2020-05-14 15:30,0.7653
2020-05-14 15:25,0.7660
2020-05-14 15:20,0.7660
2020-05-14 15:15,0.7660
2020-05-14 15:10,0.7660
2020-05-14 15:05,0.7660
2020-05-14 15:00,0.7662
2020-05-14 14:55,0.7657
2020-05-14 14:50,0.7652
2020-05-14 14:45,0.7651
2020-05-14 14:40,0.7646
2020-05-14 14:35,0.7641
2020-05-14 14:30,0.7637
2020-05-14 14:25,0.7638
2020-05-14 14:20,0.7639
2020-05-14 14:15,0.7647
2020-05-14 14:10,0.7642
2020-05-14 14:05,0.7643
2020-05-14 14:00,0.7644
2020-05-14 13:55,0.7644
2020-05-14 13:50,0.7645
2020-05-14 13:45,0.7638
2020-05-14 13:40,0.7638
2020-05-14 13:35,0.7638
2020-05-14 13:30,0.7639
2020-05-14 13:25,0.7639
2020-05-14 13:20,0.7632
2020-05-14 13:15,0.7642
2020-05-14 13:10,0.7649
2020-05-14 13:05,0.7655
2020-05-14 13:00,0.7662
2020-05-14 12:55,0.7669
2020-05-14 12:50,0.7665
2020-05-14 12:45,0.7662
2020-05-14 12:40,0.7653
2020-05-14 12:35,0.7645
2020-05-14 12:30,0.7640
2020-05-14 12:25,0.7634
2020-05-14 12:20,0.7624
2020-05-14 12:15,0.7613
2020-05-14 12:10,0.7600
2020-05-14 12:05,0.7584
2020-05-14 12:00,0.7569
2020-05-14 11:55,0.7554
2020-05-14 11:50,0.7543
2020-05-14 11:45,0.7533
2020-05-14 11:40,0.7515
2020-05-14 11:35,0.7485
2020-05-14 11:30,0.7461
2020-05-14 11:25,0.7430
2020-05-14 11:20,0.7400
2020-05-14 11:15,0.7383
2020-05-14 11:10,0.7372
2020-05-14 11:05,0.7404
2020-05-14 11:00,0.7444
2020-05-14 10:55,0.7480
2020-05-14 10:50,0.7505
2020-05-14 10:45,0.7540
2020-05-14 10:40,0.7580
2020-05-14 10:35,0.7622
2020-05-14 10:30,0.7665
2020-05-14 10:25,0.7711
2020-05-14 10:20,0.7757
2020-05-14 10:15,0.7803
2020-05-14 10:10,0.7844
2020-05-14 10:05,0.7884
2020-05-14 10:00,0.7931
2020-05-14 09:55,0.7989
2020-05-14 09:50,0.8044
2020-05-14 09:45,0.8101
2020-05-14 09:40,0.8154
2020-05-14 09:35,0.8196
2020-05-13 16:00,0.8231
2020-05-13 15:55,0.8222
2020-05-13 15:50,0.8216
2020-05-13 15:45,0.8211
2020-05-13 15:40,0.8231
2020-05-13 15:35,0.8236
2020-05-13 15:30,0.8251
2020-05-13 15:25,0.8263
2020-05-13 15:20,0.8278
2020-05-13 15:15,0.8277
2020-05-13 15:10,0.8266
2020-05-13 15:05,0.8259
2020-05-13 15:00,0.8249
2020-05-13 14:55,0.8241
2020-05-13 14:50,0.8235
2020-05-13 14:45,0.8222
2020-05-13 14:40,0.8204
2020-05-13 14:35,0.8177
2020-05-13 14:30,0.8152
2020-05-13 14:20,0.8125
2020-05-13 14:15,0.8106
