time,SlowD,SlowK
2020-05-18 16:00,53.0098,38.4700
2020-05-18 15:55,64.2076,53.3954
2020-05-18 15:50,66.3810,67.1642
2020-05-18 15:45,55.2584,72.0633
2020-05-18 15:40,37.8775,59.9156
2020-05-18 15:35,33.8538,33.7962
2020-05-18 15:30,38.9265,19.9207
2020-05-18 15:25,43.2312,47.8446
2020-05-18 15:20,31.3009,49.0143
2020-05-18 15:15,18.5908,32.8347
2020-05-18 15:10,16.0614,12.0537
2020-05-18 15:05,24.3280,10.8840
2020-05-18 15:00,38.8634,25.2464
2020-05-18 14:55,47.0560,36.8535
2020-05-18 14:50,52.4483,54.4902
2020-05-18 14:45,52.5025,49.8242
2020-05-18 14:40,55.4972,53.0305
2020-05-18 14:35,51.6475,54.6530
2020-05-18 14:30,51.7014,58.8082
2020-05-18 14:25,45.4319,41.4813
2020-05-18 14:20,42.4981,54.8146
2020-05-18 14:15,24.2559,39.9997
2020-05-18 14:05,10.9521,32.6801
2020-05-18 14:00,0.0591,0.0879
2020-05-18 13:55,10.6966,0.0883
2020-05-18 13:50,21.3340,0.0010
2020-05-18 13:45,33.8523,32.0005
2020-05-18 13:40,27.2597,32.0005
2020-05-18 13:35,25.5560,37.5559
2020-05-18 13:30,25.1485,12.2228
2020-05-18 13:25,33.1854,26.8892
2020-05-18 13:20,31.4446,36.3335
2020-05-18 13:15,26.2811,36.3335
2020-05-18 13:10,23.7602,21.6668
2020-05-18 13:05,30.2723,20.8429
2020-05-18 13:00,34.6160,28.7708
2020-05-18 12:55,36.5940,41.2033
2020-05-18 12:50,30.4014,33.8740
2020-05-18 12:45,24.3695,34.7049
2020-05-18 12:40,14.1410,22.6252
2020-05-18 12:35,11.5992,15.7783
2020-05-18 12:30,22.4509,4.0194
2020-05-18 12:25,41.6737,15.0000
2020-05-18 12:20,53.4586,48.3332
2020-05-18 12:15,48.3631,61.6879
2020-05-18 12:10,33.3561,50.3546
2020-05-18 12:05,27.4556,33.0469
2020-05-18 12:00,21.9825,16.6668
2020-05-18 11:55,26.1130,32.6531
2020-05-18 11:50,23.0717,16.6275
2020-05-18 11:45,33.3706,29.0583
2020-05-18 11:40,35.6247,23.5294
2020-05-18 11:35,42.1231,47.5242
2020-05-18 11:30,36.7713,35.8205
2020-05-18 11:25,43.1981,43.0247
2020-05-18 11:20,52.4473,31.4689
2020-05-18 11:15,67.0133,55.1007
2020-05-18 11:10,67.5908,70.7724
2020-05-18 11:05,55.1111,75.1667
2020-05-18 11:00,43.3724,56.8334
2020-05-18 10:50,35.5226,33.3334
2020-05-18 10:45,35.0201,39.9506
2020-05-18 10:40,28.0505,33.2839
2020-05-18 10:35,27.7699,31.8257
2020-05-18 10:30,32.0799,19.0419
2020-05-18 10:25,37.5980,32.4422
2020-05-18 10:20,34.1826,44.7555
2020-05-18 10:15,19.7667,35.5963
2020-05-18 10:10,13.4568,22.1960
2020-05-18 10:05,15.8708,1.5076
2020-05-18 10:00,30.8202,16.6667
2020-05-18 09:55,37.9807,29.4380
2020-05-18 09:50,42.2105,46.3559
2020-05-18 09:45,38.4800,38.1482
2020-05-18 09:40,45.5273,42.1273
2020-05-18 09:35,45.7271,35.1646
2020-05-15 16:00,44.9677,59.2900
2020-05-15 15:55,27.2648,42.7269
2020-05-15 15:50,15.0205,32.8864
2020-05-15 15:45,6.0182,6.1813
2020-05-15 15:40,11.4150,5.9940
2020-05-15 15:35,20.5401,5.8792
2020-05-15 15:30,40.8143,22.3718
2020-05-15 15:25,53.6704,33.3695
2020-05-15 15:20,70.3058,66.7016
2020-05-15 15:15,64.9189,60.9401
2020-05-15 15:10,56.1149,83.2757
2020-05-15 15:05,39.8657,50.5409
2020-05-15 15:00,36.3491,34.5281
2020-05-15 14:55,47.0931,34.5281
2020-05-15 14:50,48.8928,39.9910
2020-05-15 14:45,52.4074,66.7603
2020-05-15 14:40,43.4329,39.9270
2020-05-15 14:35,52.3472,50.5350
2020-05-15 14:30,53.6187,39.8367
2020-05-15 14:25,64.0113,66.6699
2020-05-15 14:20,56.9223,54.3494
2020-05-15 14:15,63.6021,71.0144
2020-05-15 14:10,58.0354,45.4031
2020-05-15 14:05,60.3731,74.3887
2020-05-15 14:00,44.8590,54.3143
2020-05-15 13:55,32.3540,52.4163
