time,SlowD,SlowK
2020-05-19 11:20,63.3648,48.0938
2020-05-19 11:15,77.4054,59.1724
2020-05-19 11:10,81.8625,82.8283
2020-05-19 11:05,68.0176,90.2154
2020-05-19 11:00,45.3826,72.5437
2020-05-19 10:55,27.1333,41.2937
2020-05-19 10:50,18.7507,22.3105
2020-05-19 10:45,14.9108,17.7957
2020-05-19 10:40,14.7071,16.1459
2020-05-19 10:35,24.6966,10.7907
2020-05-19 10:30,44.7921,17.1845
2020-05-19 10:25,65.7187,46.1145
2020-05-19 10:20,75.7770,71.0771
2020-05-19 10:15,69.9346,79.9646
2020-05-19 10:10,54.6447,76.2892
2020-05-19 10:05,34.5644,53.5501
2020-05-19 10:00,20.4692,34.0948
2020-05-19 09:55,12.2198,16.0483
2020-05-19 09:50,17.5975,11.2645
2020-05-19 09:45,35.1139,9.3466
2020-05-19 09:40,61.8152,32.1812
2020-05-19 09:35,78.9767,63.8139
2020-05-18 16:00,78.4511,89.4505
2020-05-18 15:55,67.4997,83.6657
2020-05-18 15:50,59.2669,62.2372
2020-05-18 15:45,63.1670,56.5963
2020-05-18 15:40,70.6141,58.9673
2020-05-18 15:35,76.0933,73.9376
2020-05-18 15:30,72.2751,78.9376
2020-05-18 15:25,62.3458,75.4046
2020-05-18 15:20,47.9732,62.4830
2020-05-18 15:15,36.4418,49.1497
2020-05-18 15:10,30.8629,32.2869
2020-05-18 15:05,37.3151,27.8890
2020-05-18 15:00,50.4772,32.4127
2020-05-18 14:55,67.0793,51.6435
2020-05-18 14:50,75.1544,67.3752
2020-05-18 14:45,73.2574,82.2192
2020-05-18 14:40,60.6733,75.8688
2020-05-18 14:35,45.9807,61.6843
2020-05-18 14:30,33.5184,44.4667
2020-05-18 14:25,28.9127,31.7910
2020-05-18 14:20,35.0894,24.2975
2020-05-18 14:15,50.1147,30.6497
2020-05-18 14:10,66.1173,50.3209
2020-05-18 14:05,77.1002,69.3736
2020-05-18 14:00,80.6124,78.6573
2020-05-18 13:55,72.3236,83.2697
2020-05-18 13:50,52.1124,79.9104
2020-05-18 13:45,32.1423,53.7909
2020-05-18 13:40,26.4829,22.6361
2020-05-18 13:35,41.2055,20.0000
2020-05-18 13:30,61.7847,36.8125
2020-05-18 13:25,80.1440,66.8041
2020-05-18 13:20,83.9195,81.7374
2020-05-18 13:15,76.2820,91.8905
2020-05-18 13:10,55.1605,78.1307
2020-05-18 13:05,35.5661,58.8248
2020-05-18 13:00,24.3724,28.5260
2020-05-18 12:55,28.2783,19.3476
2020-05-18 12:50,42.7050,25.2436
2020-05-18 12:45,51.2134,40.2436
2020-05-18 12:40,51.5317,62.6279
2020-05-18 12:35,35.2706,50.7686
2020-05-18 12:30,23.7591,41.1985
2020-05-18 12:25,13.6277,13.8446
2020-05-18 12:20,17.1277,16.2342
2020-05-18 12:15,19.0302,10.8043
2020-05-18 12:10,23.5185,24.3447
2020-05-18 12:05,23.1024,21.9416
2020-05-18 12:00,24.3053,24.2691
2020-05-18 11:55,24.5263,23.0967
2020-05-18 11:50,30.9804,25.5501
2020-05-18 11:45,44.8043,24.9320
2020-05-18 11:40,66.5589,42.4591
2020-05-18 11:35,81.2558,67.0218
2020-05-18 11:30,83.2223,90.1958
2020-05-18 11:25,72.4618,86.5499
2020-05-18 11:20,54.2952,72.9211
2020-05-18 11:15,38.4121,57.9144
2020-05-18 11:10,26.9838,32.0502
2020-05-18 11:05,30.8220,25.2716
2020-05-18 11:00,42.4750,23.6296
2020-05-18 10:55,62.7713,43.5648
2020-05-18 10:50,78.8352,60.2307
2020-05-18 10:45,88.5288,84.5185
2020-05-18 10:40,83.5013,91.7565
2020-05-18 10:35,66.7188,89.3114
2020-05-18 10:30,46.8613,69.4359
2020-05-18 10:25,32.1695,41.4092
2020-05-18 10:20,26.3675,29.7387
2020-05-18 10:15,22.6640,25.3606
2020-05-18 10:10,26.3876,24.0033
2020-05-18 10:05,38.9193,18.6281
2020-05-18 10:00,60.4468,36.5313
2020-05-18 09:55,76.0184,61.5984
2020-05-18 09:50,75.7449,83.2107
2020-05-18 09:45,59.3797,83.2462
2020-05-18 09:40,41.1679,60.7778
2020-05-18 09:35,32.7847,34.1150
2020-05-15 16:00,32.8111,28.6110
2020-05-15 15:55,28.5119,35.6281
2020-05-15 15:50,24.5213,34.1943
2020-05-15 15:45,27.0861,15.7132
2020-05-15 15:40,42.5521,23.6564
2020-05-15 15:35,58.3201,41.8889
2020-05-15 15:30,65.3964,62.1111
2020-05-15 15:25,58.9171,70.9603
2020-05-15 15:20,41.3929,63.1177
