time,SlowD,SlowK
2020-05-19 11:35,61.0200,70.4274
2020-05-19 11:30,51.9808,63.8649
2020-05-19 11:25,49.6513,48.7677
2020-05-19 11:20,60.6833,43.3097
2020-05-19 11:15,67.5189,56.8764
2020-05-19 11:10,60.6712,81.8638
2020-05-19 11:05,36.7599,63.8166
2020-05-19 11:00,17.4775,36.3333
2020-05-19 10:55,6.0674,10.1296
2020-05-19 10:50,4.8249,5.9695
2020-05-19 10:45,8.9093,2.1032
2020-05-19 10:40,18.1868,6.4020
2020-05-19 10:35,32.2565,18.2226
2020-05-19 10:30,48.7269,29.9356
2020-05-19 10:25,66.6998,48.6114
2020-05-19 10:20,78.5567,67.6338
2020-05-19 10:15,74.3377,83.8543
2020-05-19 10:10,55.3883,84.1821
2020-05-19 10:05,30.9133,54.9768
2020-05-19 10:00,16.6823,27.0061
2020-05-19 09:55,12.0363,10.7571
2020-05-19 09:50,11.7401,12.2837
2020-05-19 09:45,14.6647,13.0683
2020-05-19 09:40,26.3170,9.8682
2020-05-19 09:35,44.1867,21.0576
2020-05-18 16:00,55.9492,48.0251
2020-05-18 15:55,56.2829,63.4775
2020-05-18 15:50,49.4611,56.3449
2020-05-18 15:45,48.7112,49.0265
2020-05-18 15:40,54.4497,43.0118
2020-05-18 15:35,67.9397,54.0952
2020-05-18 15:30,81.7330,66.2420
2020-05-18 15:25,90.3696,83.4820
2020-05-18 15:20,91.6088,95.4749
2020-05-18 15:15,86.0648,92.1520
2020-05-18 15:10,79.8167,87.1993
2020-05-18 15:05,76.9335,78.8431
2020-05-18 15:00,79.5320,73.4077
2020-05-18 14:55,86.7768,78.5495
2020-05-18 14:50,86.3967,86.6387
2020-05-18 14:45,75.1260,95.1421
2020-05-18 14:40,51.1520,77.4092
2020-05-18 14:35,33.8835,52.8267
2020-05-18 14:30,28.9917,23.2203
2020-05-18 14:25,43.0637,25.6036
2020-05-18 14:20,62.1745,38.1513
2020-05-18 14:15,79.1927,65.4362
2020-05-18 14:10,85.3199,82.9360
2020-05-18 14:05,82.3519,89.2059
2020-05-18 14:00,73.7175,83.8179
2020-05-18 13:55,59.9475,74.0320
2020-05-18 13:50,50.3622,63.3026
2020-05-18 13:45,48.1128,42.5078
2020-05-18 13:40,60.6570,45.2763
2020-05-18 13:35,72.0926,56.5543
2020-05-18 13:30,79.9584,80.1404
2020-05-18 13:25,81.0234,79.5832
2020-05-18 13:20,82.6581,80.1516
2020-05-18 13:15,79.3129,83.3354
2020-05-18 13:10,66.2454,84.4874
2020-05-18 13:05,52.4656,70.1161
2020-05-18 13:00,50.0509,44.1328
2020-05-18 12:55,62.3728,43.1480
2020-05-18 12:50,76.9770,62.8719
2020-05-18 12:45,78.5340,81.0985
2020-05-18 12:40,68.6674,86.9606
2020-05-18 12:35,48.1737,67.5429
2020-05-18 12:30,35.9742,51.4986
2020-05-18 12:25,32.9191,25.4796
2020-05-18 12:20,43.6510,30.9443
2020-05-18 12:15,48.2205,42.3334
2020-05-18 12:10,43.0678,57.6754
2020-05-18 12:05,31.1693,44.6528
2020-05-18 12:00,26.2071,26.8751
2020-05-18 11:55,35.0833,21.9800
2020-05-18 11:50,51.1179,29.7661
2020-05-18 11:45,69.3392,53.5039
2020-05-18 11:40,82.4929,70.0837
2020-05-18 11:35,89.6258,84.4300
2020-05-18 11:30,93.1060,92.9649
